/home/abaddon/abaddon7.py:186: DeprecationWarning: Callback API version 1 is deprecated, update to latest version
  self.client = mqtt.Client(client_id=self.node_id)
[*] Global bypass patch applied to 'requests' module.
[2025-10-19 21:24:18] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:24:21] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:24:23] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:24:25] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:24:27] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:24:30] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:24:31] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:24:34] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:24:36] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:24:38] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:24:41] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:24:43] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:24:45] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:24:48] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:24:50] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:24:52] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:24:54] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:24:56] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:24:58] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:25:01] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:25:03] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:25:06] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:25:08] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:25:10] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:25:12] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:25:14] [+] Conectado ao Brok
[
[2025-10-19 21:24:28] [+] Conect
[2025-10-19 21:25:17] [+] Conectado ao Broker MQTT com código de resultado: 0
